ticker,peer_string,peer_list
A,"TMO,PKI,DHR,TER,NATI,ILMN,AME,BRKR,GE,SPMYY","['TMO', 'PKI', 'DHR', 'TER', 'NATI', 'ILMN', 'AME', 'BRKR', 'GE', 'SPMYY']"
AA,"ACH,KALU,CENX,NHYDY,AWCMY,BBL,BHP","['ACH', 'KALU', 'CENX', 'NHYDY', 'AWCMY', 'BBL', 'BHP']"
AAC,"SEM,ACHC,USPH,BICX","['SEM', 'ACHC', 'USPH', 'BICX']"
AAL,"ALGT,DAL,JBLU,SAVE,ALK,LUV,UAL,SKYW,HA","['ALGT', 'DAL', 'JBLU', 'SAVE', 'ALK', 'LUV', 'UAL', 'SKYW', 'HA']"
AAMC,"ASPS,BAM,WD,JOE","['ASPS', 'BAM', 'WD', 'JOE']"
AAME,"AFL,CIA,FFG,UNM,CNO,NWLI,KCLI","['AFL', 'CIA', 'FFG', 'UNM', 'CNO', 'NWLI', 'KCLI']"
AAN,"CONN,BBY,RCII,WSM,GME","['CONN', 'BBY', 'RCII', 'WSM', 'GME']"
AAOI,"MXL,EMKR,NPTN,CSCO","['MXL', 'EMKR', 'NPTN', 'CSCO']"
AAON,"LII,AOS,IR,MCCK,LXU,SXI,JCI","['LII', 'AOS', 'IR', 'MCCK', 'LXU', 'SXI', 'JCI']"
AAP,"ORLY,AZO,GPC,MNRO,PRTS,HZO","['ORLY', 'AZO', 'GPC', 'MNRO', 'PRTS', 'HZO']"
AAPL,"MSFT,HPQ,GOOG,AMZN,NFLX","['MSFT', 'HPQ', 'GOOG', 'AMZN', 'NFLX']"
AAT,"CIM,DX,SPG,VNO","['CIM', 'DX', 'SPG', 'VNO']"
AAU,"NG,AUY,TRX,SA,TNX-CA,NG-CA","['NG', 'AUY', 'TRX', 'SA', 'TNX-CA', 'NG-CA']"
AAWW,"ATSG,FDX,BA","['ATSG', 'FDX', 'BA']"
AB,"AMG,UBS,AXAHY","['AMG', 'UBS', 'AXAHY']"
ABB,"GE,EMR,HON,ITW,SIEGY","['GE', 'EMR', 'HON', 'ITW', 'SIEGY']"
ABBV,"PFE,BMY,LLY,AMGN,GILD,BIIB,GSK,AZN,NBIX","['PFE', 'BMY', 'LLY', 'AMGN', 'GILD', 'BIIB', 'GSK', 'AZN', 'NBIX']"
ABC,"CAH,MCK,HSIC,OMI,HLF,PDCO,CVS,RAD,OMCL","['CAH', 'MCK', 'HSIC', 'OMI', 'HLF', 'PDCO', 'CVS', 'RAD', 'OMCL']"
ABCB,"CBAN,UCBI,AUBN,ATLO","['CBAN', 'UCBI', 'AUBN', 'ATLO']"
ABEO,"TARO,SUWN,ELTP,MRK","['TARO', 'SUWN', 'ELTP', 'MRK']"
ABEV,"SAM,TBVPF,BUD,BF.B","['SAM', 'TBVPF', 'BUD', 'BF.B']"
